mn,pinion,g2,width,SH
5,15,75,30,0.213829569
5,13,52,55,0.240994442
5,13,65,100,0.336354062
10,13,52,130,0.723203344
10,14,84,120,0.795914304
20,13,52,340,1.76748473
15,12,48,150,1.051070876
15,15,105,195,1.398162966
20,15,105,240,1.897314618
1,14,70,13,0.025992442
5,14,84,55,0.278018784
1,13,91,10,0.022408286
10,11,44,60,0.427371595
10,14,56,150,0.828078718
1,12,84,11,0.02166785
15,11,77,195,1.151889101
15,14,70,300,1.453199306
10,11,88,200,0.822241242
20,15,60,120,1.414861401
20,14,112,200,1.720953842
10,15,90,60,0.619000566
20,15,120,240,1.923540739
5,11,77,55,0.222949942
20,14,112,120,1.44146808
1,15,75,12,0.02677939
20,12,60,200,1.461594585
1,11,44,15,0.0210093
5,14,70,55,0.269964105
15,15,60,90,1.035194494
10,15,90,130,0.881286031
5,12,48,75,0.259653109
20,13,52,200,1.513768625
10,11,55,150,0.682666302
10,15,75,60,0.601880466
15,14,84,255,1.406390451
20,15,75,240,1.848450933
15,15,75,165,1.279768114
20,15,90,220,1.81464372
15,15,75,150,1.260948918
5,12,60,50,0.22029511
1,14,70,6,0.017657304
10,13,65,200,0.898167514
15,14,84,90,1.027395255
15,12,60,300,1.30920951
1,11,66,15,0.022593733
10,14,56,110,0.718954958
20,12,48,220,1.481309634
1,15,120,12,0.029003396
5,12,48,50,0.212010118
15,12,48,195,1.162287358
5,15,105,55,0.305314432
15,12,84,150,1.135707752
20,13,91,220,1.658087748
15,11,55,300,1.253011689
20,14,70,120,1.384901666
5,14,112,50,0.276717671
10,15,60,100,0.733718273
5,15,90,50,0.284316204
10,11,88,100,0.602906858
10,11,88,130,0.681541121
1,14,98,15,0.029589283
15,15,120,90,1.1326139
10,11,55,100,0.564670814
10,15,60,110,0.766445758
15,12,48,225,1.213746229
10,15,60,60,0.579921142
1,12,96,6,0.016346818
1,12,48,11,0.019628374
10,11,44,130,0.616338391
10,12,84,150,0.776989733
1,11,88,17,0.025200698
1,15,105,11,0.0271799
15,14,98,165,1.273044636
15,12,96,225,1.267390531
15,11,55,225,1.180102015
10,11,77,120,0.644985795
10,12,96,60,0.516586214
5,15,75,65,0.314734064
15,15,75,195,1.341347606
15,11,44,90,0.769185144
1,14,112,10,0.024678984
5,13,78,100,0.34629655
20,12,48,260,1.542640725
15,13,104,195,1.283991962
5,14,56,75,0.303252402
10,14,56,130,0.776187712
1,12,84,15,0.025303343
1,13,91,12,0.02454745
1,14,84,11,0.024692482
20,13,78,200,1.590187803
15,14,112,225,1.405178282
20,11,55,340,1.615354466
15,11,44,150,0.970062293
15,12,96,255,1.289934302
20,14,84,340,1.921526576
15,12,72,300,1.323078826
10,15,105,130,0.898355946
10,15,90,110,0.817358352
5,14,112,100,0.389083602
1,13,104,13,0.026097379
15,11,44,165,1.002318999
1,11,77,13,0.021575968
20,12,84,120,1.27974713
5,15,60,55,0.278453646
5,12,60,85,0.287086446
1,11,55,17,0.023307981
1,11,55,10,0.017875613
10,12,60,130,0.693083155
15,14,112,255,1.440881048
15,14,70,225,1.339171743
5,15,75,55,0.289518287
5,15,90,30,0.220234813
5,15,90,75,0.348199458
5,15,75,60,0.302389348
1,14,56,12,0.023944754
1,14,70,12,0.024972512
1,13,52,11,0.02127322
5,12,96,55,0.248187313
1,12,48,13,0.021338589
5,12,60,75,0.269799174
15,12,48,165,1.084205275
20,12,96,240,1.630830717
15,14,112,150,1.240735583
20,12,60,340,1.717176106
1,11,55,6,0.01384604
1,12,72,17,0.026260962
15,13,104,225,1.335057978
20,14,98,240,1.804523737
10,15,120,170,1.01806844
10,14,70,120,0.774310283
20,11,77,240,1.51727461
5,14,98,100,0.381600779
10,11,77,100,0.592143183
15,12,96,300,1.36709924
10,13,52,110,0.669457155
5,15,120,50,0.296840263
15,12,60,90,0.865531303
5,12,60,60,0.241319008
15,11,66,150,1.029920719
15,14,112,300,1.520060663
1,14,70,20,0.032241635
20,15,75,220,1.795997595
20,14,98,400,2.036437461
1,12,84,10,0.020659332
5,12,72,50,0.226781802
5,12,72,55,0.237849668
1,14,70,11,0.02390915
1,13,65,10,0.021152712
1,13,65,15,0.025907704
15,14,56,150,1.207395189
10,11,77,200,0.807864176
10,11,88,120,0.656670014
5,14,70,85,0.33467855
20,13,65,120,1.327287111
10,15,60,200,0.9871179
5,12,72,85,0.29553716
15,15,60,300,1.495215039
10,15,105,60,0.63211542
10,14,98,150,0.899375422
5,12,72,100,0.319815512
5,11,88,65,0.2470604
15,15,75,90,1.068703756
20,12,60,240,1.563222704
5,15,60,30,0.205657471
15,13,65,300,1.383411461
10,11,55,60,0.443208884
15,11,44,300,1.226563775
5,15,60,100,0.372894021
1,15,75,20,0.034574698
20,13,52,260,1.625621309
20,12,84,340,1.760438233
1,15,90,13,0.028791702
20,13,91,260,1.715497478
1,15,75,10,0.024445657
20,11,44,340,1.584358423
20,14,56,120,1.353901345
1,11,66,13,0.021033349
20,13,78,300,1.782939838
10,11,44,150,0.658745655
10,12,60,170,0.777167268
20,14,84,120,1.396023744
5,15,90,65,0.324161771
10,13,52,200,0.869685479
5,13,52,30,0.177956311
5,11,66,55,0.21786861
5,12,84,65,0.264653894
20,13,91,340,1.858609749
5,12,84,55,0.243448429
1,15,105,10,0.025914763
20,15,90,260,1.866194952
20,13,78,120,1.350329421
20,15,75,400,2.045278809
1,13,104,20,0.032371687
15,13,91,90,0.977506301
15,14,84,225,1.370163704
1,13,91,11,0.023502201
15,13,78,225,1.290876708
10,12,48,170,0.75195576
5,13,52,85,0.299351166
15,13,91,195,1.267762612
10,14,84,200,0.987222989
1,13,52,17,0.026447311
20,11,77,260,1.531677855
20,14,84,240,1.774862351
5,15,120,60,0.325165639
10,14,70,150,0.856198666
10,14,84,60,0.578086438
15,11,88,225,1.207489429
5,12,96,65,0.269805545
20,14,84,400,2.004852628
10,15,90,200,1.051016983
15,13,52,165,1.165819331
10,11,66,100,0.579414956
1,11,66,10,0.018447111
15,15,105,225,1.474064814
20,14,84,300,1.855570849
5,15,75,50,0.276047266
10,12,60,150,0.740001264
10,11,66,110,0.605990926
1,13,78,6,0.01691313
1,14,56,6,0.016930628
20,12,84,240,1.608374738
10,11,66,200,0.790881606
10,14,112,170,0.955487604
10,15,120,110,0.848945637
10,11,77,170,0.751753147
1,12,96,11,0.022134519
5,13,104,60,0.281134302
5,11,88,60,0.237368812
20,12,84,200,1.506389317
1,12,72,11,0.021123389
15,15,105,90,1.119829749
5,14,84,85,0.344648261
20,15,75,260,1.849185078
5,14,70,60,0.281966299
15,11,55,195,1.112529894
15,13,91,300,1.431092982
15,15,60,195,1.329479364
5,11,44,60,0.212852289
1,12,84,13,0.023555783
10,12,84,120,0.701509168
1,11,88,15,0.02367162
1,12,60,12,0.021372937
20,11,88,240,1.525676047
15,14,84,180,1.278878476
20,13,78,220,1.645711127
5,14,56,85,0.322238591
20,14,56,300,1.791500556
10,12,96,150,0.791076537
15,12,60,255,1.265929378
10,12,72,120,0.68640065
10,12,72,110,0.659235645
1,15,90,15,0.030927852
1,11,88,20,0.027334538
15,12,84,90,0.90550702
5,15,75,100,0.387650927
15,14,112,165,1.259386515
10,15,105,200,1.05517828
5,11,66,85,0.270840425
5,12,72,30,0.175617194
15,12,72,255,1.255472854
5,13,104,30,0.198757973
5,11,88,100,0.305976419
10,13,78,130,0.768936832
20,12,84,300,1.694828696
1,15,60,15,0.028701658
10,14,84,100,0.732121235
1,15,75,15,0.02994113
5,12,84,85,0.30249178
1,14,56,20,0.030914662
10,15,120,100,0.813042502
5,11,88,75,0.265383525
15,14,98,255,1.431938142
10,15,105,150,0.956771812
5,14,112,75,0.3388962
10,12,72,100,0.630536385
5,11,77,100,0.300173038
20,12,72,340,1.751661304
1,13,104,11,0.0240057
1,14,70,15,0.027920851
1,15,120,11,0.027768362
20,14,70,340,1.907172934
10,14,84,110,0.764925945
1,13,65,17,0.027581295
10,15,120,150,0.974265605
15,15,90,195,1.372636301
5,11,55,50,0.201835351
15,13,52,195,1.226558883
20,14,56,260,1.714519217
5,12,72,75,0.277743466
20,11,44,400,1.645461482
15,11,66,225,1.204201874
20,14,84,200,1.66878265
10,13,78,170,0.86016818
15,15,120,195,1.408361903
15,12,96,195,1.226607926
10,12,48,120,0.64547049
5,14,56,30,0.191784123
1,11,66,20,0.026089838
1,13,104,17,0.029844481
5,11,77,75,0.2603457
15,14,70,165,1.230021224
1,15,60,10,0.023433706
5,12,48,65,0.241725824
20,15,120,340,2.06898091
5,14,98,75,0.332361213
10,13,65,120,0.721264755
5,13,78,50,0.245901748
10,13,78,150,0.820373231
1,13,91,20,0.031692698
20,14,112,240,1.829566494
15,14,98,300,1.512389262
15,14,84,300,1.485729899
15,11,77,165,1.081716884
1,15,105,17,0.03379105
1,11,88,6,0.014970354
10,12,72,200,0.857162603
10,15,90,170,0.981852451
20,14,112,340,1.978324812
10,12,48,100,0.592606651
15,13,65,180,1.23192549
5,13,52,65,0.261985928
5,15,105,30,0.225496199
20,15,90,240,1.866199314
10,15,75,130,0.857328915
15,11,55,150,1.003703015
5,15,105,100,0.408723262
1,15,105,13,0.02954825
10,11,55,120,0.615340359
15,11,55,255,1.208689124
1,11,44,12,0.018790943
10,13,78,120,0.741312594
5,12,72,60,0.248424734
5,13,78,55,0.257902432
20,14,56,200,1.603570013
10,14,112,60,0.601341085
15,13,52,150,1.132060897
20,12,72,120,1.288496153
15,15,120,165,1.322338002
1,11,66,17,0.024053176
1,12,60,11,0.020462884
20,14,98,120,1.420704985
5,13,91,65,0.287001556
10,14,70,200,0.960987027
5,12,84,60,0.254272414
1,13,104,15,0.028033545
1,15,60,12,0.025670821
15,14,56,165,1.228578644
15,13,91,255,1.352573873
5,15,105,85,0.378002917
20,15,90,400,2.083682803
5,13,52,100,0.323936303
20,13,104,300,1.816552726
15,14,70,255,1.375186796
20,15,75,300,1.928221598
20,15,105,340,2.041811801
20,14,98,340,1.952280525
20,13,91,300,1.792339134
15,13,91,150,1.197895004
20,15,105,400,2.116531225
10,11,66,60,0.455154639
1,13,78,15,0.02674395
5,15,60,60,0.290832851
5,15,120,30,0.229937216
1,12,48,12,0.020501311
15,12,84,225,1.251767617
5,13,91,55,0.26400612
10,12,96,130,0.74110175
15,13,52,255,1.290534194
10,14,56,100,0.687901509
15,11,44,195,1.075997138
10,13,91,110,0.728018258
5,11,44,50,0.194307872
20,13,65,400,1.884457247
20,15,75,200,1.738582874
15,14,98,90,1.048951981
